From	Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length
UniRef50_A0A1Q9BRB7	A0A1Q9BRB7	unreviewed	A0A1Q9BRB7_SYMMI	HhaIM protein (Modification methylase HhaI)	hhaIM AK812_SmicGene47613 SMIC04503_LOCUS38391	Symbiodinium microadriaticum (Dinoflagellate) (Zooxanthella microadriatica)	449
UniRef50_A0A1Q9BRN4	A0A1Q9BRN4	unreviewed	A0A1Q9BRN4_SYMMI	Uncharacterized protein	AK812_SmicGene47434	Symbiodinium microadriaticum (Dinoflagellate) (Zooxanthella microadriatica)	448
UniRef50_A0A1Q9BRP5	A0A812M934	unreviewed	A0A812M934_9DINO	Uncharacterized protein	SMICCKB8_LOCUS8101	Symbiodinium sp. KB8	115
UniRef50_A0A1Q9BRP5	A0A1Q9BRP5	unreviewed	A0A1Q9BRP5_SYMMI	Uncharacterized protein	AK812_SmicGene47407	Symbiodinium microadriaticum (Dinoflagellate) (Zooxanthella microadriatica)	135
UniRef50_A0A1Q9BS63	A0A812M9B0	unreviewed	A0A812M9B0_9DINO	CCHC-type domain-containing protein	SMICCKB8_LOCUS7537	Symbiodinium sp. KB8	364
UniRef50_A0A1Q9BS63	A0A1Q9BS63	unreviewed	A0A1Q9BS63_SYMMI	CCHC-type domain-containing protein	AK812_SmicGene47212 SMIC04503_LOCUS5793	Symbiodinium microadriaticum (Dinoflagellate) (Zooxanthella microadriatica)	364
UniRef50_A0A1Q9BSC0	A0A1Q9BSC0	unreviewed	A0A1Q9BSC0_SYMMI	Uncharacterized protein	AK812_SmicGene47130	Symbiodinium microadriaticum (Dinoflagellate) (Zooxanthella microadriatica)	563
UniRef50_A0A1Q9BSG6	A0A1Q9BSG6	unreviewed	A0A1Q9BSG6_SYMMI	Copia protein	GIP AK812_SmicGene47105	Symbiodinium microadriaticum (Dinoflagellate) (Zooxanthella microadriatica)	593
UniRef50_A0A1Q9BSI8	A0A1Q9BSI8	unreviewed	A0A1Q9BSI8_SYMMI	Uncharacterized protein	AK812_SmicGene47079	Symbiodinium microadriaticum (Dinoflagellate) (Zooxanthella microadriatica)	135
UniRef50_A0A1Q9BSM8	A0A812QDG0	unreviewed	A0A812QDG0_9DINO	Uncharacterized protein	SNEC2469_LOCUS9703	Symbiodinium necroappetens	306
UniRef50_A0A1Q9BSM8	A0A1Q9BSM8	unreviewed	A0A1Q9BSM8_SYMMI	Uncharacterized protein	AK812_SmicGene47020	Symbiodinium microadriaticum (Dinoflagellate) (Zooxanthella microadriatica)	333
UniRef50_A0A1Q9BSN3	A0A1Q9BSN3	unreviewed	A0A1Q9BSN3_SYMMI	Reverse transcriptase domain-containing protein	AK812_SmicGene47100	Symbiodinium microadriaticum (Dinoflagellate) (Zooxanthella microadriatica)	396
UniRef50_A0A1Q9BSQ3	A0A1Q9BSQ3	unreviewed	A0A1Q9BSQ3_SYMMI	Uncharacterized protein	AK812_SmicGene46946	Symbiodinium microadriaticum (Dinoflagellate) (Zooxanthella microadriatica)	380
UniRef50_A0A1Q9BSV1	A0A1Q9BSV1	unreviewed	A0A1Q9BSV1_SYMMI	Putative mitochondrial protein	AK812_SmicGene46892	Symbiodinium microadriaticum (Dinoflagellate) (Zooxanthella microadriatica)	319
UniRef50_A0A1Q9BT03	A0A1Q9BT03	unreviewed	A0A1Q9BT03_SYMMI	Uncharacterized protein	AK812_SmicGene46808	Symbiodinium microadriaticum (Dinoflagellate) (Zooxanthella microadriatica)	620
UniRef50_A0A1Q9BT90	A0A1Q9BT90	unreviewed	A0A1Q9BT90_SYMMI	Uncharacterized protein	AK812_SmicGene46772	Symbiodinium microadriaticum (Dinoflagellate) (Zooxanthella microadriatica)	579
UniRef50_A0A1Q9BTD6	A0A1Q9BTD6	unreviewed	A0A1Q9BTD6_SYMMI	OTU domain-containing protein	AK812_SmicGene46671	Symbiodinium microadriaticum (Dinoflagellate) (Zooxanthella microadriatica)	939
UniRef50_A0A1Q9BTE4	A0A1Q9BTE4	unreviewed	A0A1Q9BTE4_SYMMI	Retrovirus-related Pol polyprotein from transposon TNT 1-94	AK812_SmicGene46658	Symbiodinium microadriaticum (Dinoflagellate) (Zooxanthella microadriatica)	813
UniRef50_A0A1Q9BTG8	A0A812YZE0	unreviewed	A0A812YZE0_9DINO	Reverse transcriptase Ty1/copia-type domain-containing protein	SNEC2469_LOCUS23722	Symbiodinium necroappetens	452
UniRef50_A0A1Q9BTG8	A0A1Q9BTG8	unreviewed	A0A1Q9BTG8_SYMMI	Retrovirus-related Pol polyprotein from transposon TNT 1-94	AK812_SmicGene46617	Symbiodinium microadriaticum (Dinoflagellate) (Zooxanthella microadriatica)	549
UniRef50_A0A1Q9BTJ3	A0A1Q9BTJ3	unreviewed	A0A1Q9BTJ3_SYMMI	C2H2-type domain-containing protein	AK812_SmicGene46594	Symbiodinium microadriaticum (Dinoflagellate) (Zooxanthella microadriatica)	864
UniRef50_A0A1Q9BTJ4	A0A1Q9BTJ4	unreviewed	A0A1Q9BTJ4_SYMMI	Uncharacterized protein	AK812_SmicGene46597	Symbiodinium microadriaticum (Dinoflagellate) (Zooxanthella microadriatica)	931
UniRef50_A0A1Q9BTL9	A0A1Q9BTL9	unreviewed	A0A1Q9BTL9_SYMMI	Tyr recombinase domain-containing protein	AK812_SmicGene46553	Symbiodinium microadriaticum (Dinoflagellate) (Zooxanthella microadriatica)	316
UniRef50_A0A1Q9BTV5	A0A812Z1L3	unreviewed	A0A812Z1L3_9DINO	Uncharacterized protein	SMICCKB8_LOCUS22129	Symbiodinium sp. KB8	513
UniRef50_A0A1Q9BTV5	A0A1Q9BTV5	unreviewed	A0A1Q9BTV5_SYMMI	Uncharacterized protein	AK812_SmicGene46431	Symbiodinium microadriaticum (Dinoflagellate) (Zooxanthella microadriatica)	539
UniRef50_A0A1Q9BTV5	A0A812TJI2	unreviewed	A0A812TJI2_SYMMI	Uncharacterized protein	SMIC04503_LOCUS16402	Symbiodinium microadriaticum (Dinoflagellate) (Zooxanthella microadriatica)	535
UniRef50_A0A1Q9BTW7	A0A813AA30	unreviewed	A0A813AA30_9DINO	Uncharacterized protein	SNEC2469_LOCUS27307	Symbiodinium necroappetens	574
UniRef50_A0A1Q9BTW7	A0A1Q9BTW7	unreviewed	A0A1Q9BTW7_SYMMI	Core-binding (CB) domain-containing protein	AK812_SmicGene46424	Symbiodinium microadriaticum (Dinoflagellate) (Zooxanthella microadriatica)	607
UniRef50_A0A1Q9BTW7	A0A812XHL8	unreviewed	A0A812XHL8_SYMMI	Uncharacterized protein	SMIC04503_LOCUS23972	Symbiodinium microadriaticum (Dinoflagellate) (Zooxanthella microadriatica)	491
UniRef50_A0A1Q9BTX7	A0A812KI04	unreviewed	A0A812KI04_9DINO	RE1 protein	RE1 SLIN2456_LOCUS5094	Symbiodinium sp. CCMP2456	883
UniRef50_A0A1Q9BTX7	A0A1Q9BTX7	unreviewed	A0A1Q9BTX7_SYMMI	Integrase catalytic domain-containing protein	AK812_SmicGene46512	Symbiodinium microadriaticum (Dinoflagellate) (Zooxanthella microadriatica)	945
UniRef50_A0A1Q9BTX7	A0A1Q9DEH6	unreviewed	A0A1Q9DEH6_SYMMI	Putative transposon protein	TY5A AK812_SmicGene24505	Symbiodinium microadriaticum (Dinoflagellate) (Zooxanthella microadriatica)	1076
UniRef50_A0A1Q9BTY0	A0A1Q9BTY0	unreviewed	A0A1Q9BTY0_SYMMI	Uncharacterized protein	AK812_SmicGene46390	Symbiodinium microadriaticum (Dinoflagellate) (Zooxanthella microadriatica)	966
UniRef50_A0A1Q9BTZ5	A0A1Q9BTZ5	unreviewed	A0A1Q9BTZ5_SYMMI	Tyr recombinase domain-containing protein	AK812_SmicGene46384	Symbiodinium microadriaticum (Dinoflagellate) (Zooxanthella microadriatica)	1079
UniRef50_A0A1Q9BU34	A0A1Q9BU34	unreviewed	A0A1Q9BU34_SYMMI	Reverse transcriptase domain-containing protein	AK812_SmicGene46403	Symbiodinium microadriaticum (Dinoflagellate) (Zooxanthella microadriatica)	414
UniRef50_A0A1Q9BU58	A0A1Q9BU58	unreviewed	A0A1Q9BU58_SYMMI	Tyr recombinase domain-containing protein	AK812_SmicGene46311	Symbiodinium microadriaticum (Dinoflagellate) (Zooxanthella microadriatica)	643
UniRef50_A0A1Q9BU92	A0A1Q9BU92	unreviewed	A0A1Q9BU92_SYMMI	Retrotransposon gag domain-containing protein	AK812_SmicGene46369	Symbiodinium microadriaticum (Dinoflagellate) (Zooxanthella microadriatica)	1069
UniRef50_A0A1Q9BUG8	A0A1Q9BUG8	unreviewed	A0A1Q9BUG8_SYMMI	Integrase catalytic domain-containing protein	AK812_SmicGene46164	Symbiodinium microadriaticum (Dinoflagellate) (Zooxanthella microadriatica)	340
UniRef50_A0A1Q9BUH7	A0A1Q9BUH7	unreviewed	A0A1Q9BUH7_SYMMI	Uncharacterized protein	AK812_SmicGene46161	Symbiodinium microadriaticum (Dinoflagellate) (Zooxanthella microadriatica)	959
UniRef50_A0A1Q9BUR7	A0A1Q9BUR7	unreviewed	A0A1Q9BUR7_SYMMI	Uncharacterized protein	AK812_SmicGene46059	Symbiodinium microadriaticum (Dinoflagellate) (Zooxanthella microadriatica)	762
UniRef50_A0A1Q9BV76	A0A812MG53	unreviewed	A0A812MG53_9DINO	Uncharacterized protein	SMICCKB8_LOCUS8154	Symbiodinium sp. KB8	531
UniRef50_A0A1Q9BV76	A0A1Q9BV76	unreviewed	A0A1Q9BV76_SYMMI	Tyr recombinase domain-containing protein	AK812_SmicGene45878	Symbiodinium microadriaticum (Dinoflagellate) (Zooxanthella microadriatica)	644
UniRef50_A0A1Q9BV76	A0A1Q9CZH6	unreviewed	A0A1Q9CZH6_SYMMI	Uncharacterized protein	AK812_SmicGene30328	Symbiodinium microadriaticum (Dinoflagellate) (Zooxanthella microadriatica)	531
UniRef50_A0A1Q9BV76	A0A812MDR2	unreviewed	A0A812MDR2_SYMMI	Uncharacterized protein	SMIC04503_LOCUS6337	Symbiodinium microadriaticum (Dinoflagellate) (Zooxanthella microadriatica)	480
UniRef50_A0A1Q9BVA9	A0A1Q9BVA9	unreviewed	A0A1Q9BVA9_SYMMI	Uncharacterized protein	AK812_SmicGene45818	Symbiodinium microadriaticum (Dinoflagellate) (Zooxanthella microadriatica)	619
UniRef50_A0A1Q9BVF9	A0A1Q9BVF9	unreviewed	A0A1Q9BVF9_SYMMI	LINE-1 reverse transcriptase-like	AK812_SmicGene45758	Symbiodinium microadriaticum (Dinoflagellate) (Zooxanthella microadriatica)	1473
UniRef50_A0A1Q9BVK8	A0A1Q9BVK8	unreviewed	A0A1Q9BVK8_SYMMI	Copia protein	GIP AK812_SmicGene45778	Symbiodinium microadriaticum (Dinoflagellate) (Zooxanthella microadriatica)	1112
UniRef50_A0A1Q9BVQ8	A0A1Q9BVQ8	unreviewed	A0A1Q9BVQ8_SYMMI	Reverse transcriptase domain-containing protein	AK812_SmicGene45609	Symbiodinium microadriaticum (Dinoflagellate) (Zooxanthella microadriatica)	1331
UniRef50_A0A1Q9BVX2	A0A1Q9BVX2	unreviewed	A0A1Q9BVX2_SYMMI	Putative outer membrane protein PmpB	pmpB AK812_SmicGene45516	Symbiodinium microadriaticum (Dinoflagellate) (Zooxanthella microadriatica)	784
UniRef50_A0A1Q9BVX6	A0A1Q9BVX6	unreviewed	A0A1Q9BVX6_SYMMI	Uncharacterized protein	AK812_SmicGene45479	Symbiodinium microadriaticum (Dinoflagellate) (Zooxanthella microadriatica)	378
UniRef50_A0A1Q9BVX8	A0A1Q9BVX8	unreviewed	A0A1Q9BVX8_SYMMI	Uncharacterized protein	AK812_SmicGene45483	Symbiodinium microadriaticum (Dinoflagellate) (Zooxanthella microadriatica)	641
UniRef50_A0A1Q9BVX9	A0A813B7S8	unreviewed	A0A813B7S8_9DINO	Uncharacterized protein	SMICCKB8_LOCUS28211	Symbiodinium sp. KB8	472
UniRef50_A0A1Q9BVX9	A0A1Q9BVX9	unreviewed	A0A1Q9BVX9_SYMMI	Uncharacterized protein	AK812_SmicGene45543	Symbiodinium microadriaticum (Dinoflagellate) (Zooxanthella microadriatica)	510
UniRef50_A0A1Q9BVX9	A0A812W9X0	unreviewed	A0A812W9X0_SYMMI	Uncharacterized protein	SMIC04503_LOCUS21884	Symbiodinium microadriaticum (Dinoflagellate) (Zooxanthella microadriatica)	472
UniRef50_A0A1Q9BW16	A0A1Q9BW16	unreviewed	A0A1Q9BW16_SYMMI	Uncharacterized protein	AK812_SmicGene45518	Symbiodinium microadriaticum (Dinoflagellate) (Zooxanthella microadriatica)	529
UniRef50_A0A1Q9BW17	A0A812SDN0	unreviewed	A0A812SDN0_9DINO	ASCH domain-containing protein	SMICCKB8_LOCUS14873	Symbiodinium sp. KB8	1243
UniRef50_A0A1Q9BW17	A0A1Q9BW17	unreviewed	A0A1Q9BW17_SYMMI	ASCH domain-containing protein	AK812_SmicGene45467	Symbiodinium microadriaticum (Dinoflagellate) (Zooxanthella microadriatica)	1268
UniRef50_A0A1Q9BW17	A0A812Q9F8	unreviewed	A0A812Q9F8_SYMMI	ASCH domain-containing protein	SMIC04503_LOCUS11038	Symbiodinium microadriaticum (Dinoflagellate) (Zooxanthella microadriatica)	1243
UniRef50_A0A1Q9BW24	A0A1Q9BW24	unreviewed	A0A1Q9BW24_SYMMI	Copia protein	GIP AK812_SmicGene45476	Symbiodinium microadriaticum (Dinoflagellate) (Zooxanthella microadriatica)	692
UniRef50_A0A1Q9BW63	A0A1Q9BW63	unreviewed	A0A1Q9BW63_SYMMI	Copia protein	AK812_SmicGene45416	Symbiodinium microadriaticum (Dinoflagellate) (Zooxanthella microadriatica)	615
UniRef50_A0A1Q9BW98	A0A1Q9BW98	unreviewed	A0A1Q9BW98_SYMMI	SET domain-containing protein	AK812_SmicGene45348	Symbiodinium microadriaticum (Dinoflagellate) (Zooxanthella microadriatica)	1143
UniRef50_A0A1Q9BWD6	A0A1Q9BWD6	unreviewed	A0A1Q9BWD6_SYMMI	Uncharacterized protein	AK812_SmicGene45319	Symbiodinium microadriaticum (Dinoflagellate) (Zooxanthella microadriatica)	1358
UniRef50_A0A1Q9BWD6	A0A812S2Y8	unreviewed	A0A812S2Y8_SYMMI	Uncharacterized protein	SMIC04503_LOCUS13940	Symbiodinium microadriaticum (Dinoflagellate) (Zooxanthella microadriatica)	738
UniRef50_A0A1Q9BWD8	A0A1Q9BWD8	unreviewed	A0A1Q9BWD8_SYMMI	Uncharacterized protein	AK812_SmicGene45336	Symbiodinium microadriaticum (Dinoflagellate) (Zooxanthella microadriatica)	964
UniRef50_A0A1Q9BWE0	A0A1Q9BWE0	unreviewed	A0A1Q9BWE0_SYMMI	Uncharacterized protein	AK812_SmicGene45345	Symbiodinium microadriaticum (Dinoflagellate) (Zooxanthella microadriatica)	243
UniRef50_A0A1Q9BWM5	A0A1Q9BWM5	unreviewed	A0A1Q9BWM5_SYMMI	Pol polyprotein	pol AK812_SmicGene45189	Symbiodinium microadriaticum (Dinoflagellate) (Zooxanthella microadriatica)	1902
UniRef50_A0A1Q9BWM5	A0A1Q9E4X4	unreviewed	A0A1Q9E4X4_SYMMI	Retrovirus-related Pol polyprotein	POL AK812_SmicGene14641	Symbiodinium microadriaticum (Dinoflagellate) (Zooxanthella microadriatica)	1890
UniRef50_A0A1Q9BWV1	A0A1Q9BWV1	unreviewed	A0A1Q9BWV1_SYMMI	Uncharacterized protein	AK812_SmicGene45120	Symbiodinium microadriaticum (Dinoflagellate) (Zooxanthella microadriatica)	270
UniRef50_A0A1Q9BWV4	A0A812ZHP2	unreviewed	A0A812ZHP2_9DINO	ScrFIAM protein	scrFIAM SNEC2469_LOCUS24783	Symbiodinium necroappetens	211
UniRef50_A0A1Q9BWV4	A0A813AK98	unreviewed	A0A813AK98_9DINO	ScrFIAM protein	scrFIAM SMICCKB8_LOCUS25820	Symbiodinium sp. KB8	236
UniRef50_A0A1Q9BWV4	A0A813AZF4	unreviewed	A0A813AZF4_9DINO	ScrFIAM protein	scrFIAM SMICCKB8_LOCUS27205	Symbiodinium sp. KB8	211
UniRef50_A0A1Q9BWV4	A0A1Q9BWV4	unreviewed	A0A1Q9BWV4_SYMMI	Modification methylase ScrFIA	scrFIAM AK812_SmicGene45088	Symbiodinium microadriaticum (Dinoflagellate) (Zooxanthella microadriatica)	236
UniRef50_A0A1Q9BWV4	A0A1Q9EP18	unreviewed	A0A1Q9EP18_SYMMI	Modification methylase ScrFIA	scrFIAM AK812_SmicGene7291	Symbiodinium microadriaticum (Dinoflagellate) (Zooxanthella microadriatica)	211
UniRef50_A0A1Q9BWV4	A0A812X5Q7	unreviewed	A0A812X5Q7_SYMMI	ScrFIAM protein	scrFIAM SMIC04503_LOCUS23327	Symbiodinium microadriaticum (Dinoflagellate) (Zooxanthella microadriatica)	229
UniRef50_A0A1Q9BX06	A0A812P7I6	unreviewed	A0A812P7I6_9DINO	Integrase catalytic domain-containing protein	SMICCKB8_LOCUS11718	Symbiodinium sp. KB8	1611
UniRef50_A0A1Q9BX06	A0A1Q9BX06	unreviewed	A0A1Q9BX06_SYMMI	Integrase catalytic domain-containing protein	AK812_SmicGene45005 SMIC04503_LOCUS8604	Symbiodinium microadriaticum (Dinoflagellate) (Zooxanthella microadriatica)	1611
UniRef50_A0A1Q9BX06	A0A812JQZ0	unreviewed	A0A812JQZ0_9DINO	Integrase catalytic domain-containing protein	SNAT2548_LOCUS7102	Symbiodinium natans	1419
UniRef50_A0A1Q9BX33	A0A812I0Z5	unreviewed	A0A812I0Z5_9DINO	Reverse transcriptase domain-containing protein	SLIN2456_LOCUS1222	Symbiodinium sp. CCMP2456	2744
UniRef50_A0A1Q9BX33	A0A812PMV4	unreviewed	A0A812PMV4_9DINO	RNase H type-1 domain-containing protein	SNEC2469_LOCUS8750	Symbiodinium necroappetens	3254
UniRef50_A0A1Q9BX33	A0A812MJF4	unreviewed	A0A812MJF4_9DINO	RNase H type-1 domain-containing protein	SMICCKB8_LOCUS8675	Symbiodinium sp. KB8	3300
UniRef50_A0A1Q9BX33	A0A813D487	unreviewed	A0A813D487_9DINO	Reverse transcriptase domain-containing protein	SMICCKB8_LOCUS42234	Symbiodinium sp. KB8	3099
UniRef50_A0A1Q9BX33	A0A1Q9BX33	unreviewed	A0A1Q9BX33_SYMMI	RNase H type-1 domain-containing protein	AK812_SmicGene44973	Symbiodinium microadriaticum (Dinoflagellate) (Zooxanthella microadriatica)	3285
UniRef50_A0A1Q9BX33	A0A1Q9CMG8	unreviewed	A0A1Q9CMG8_SYMMI	RNase H type-1 domain-containing protein	AK812_SmicGene35029	Symbiodinium microadriaticum (Dinoflagellate) (Zooxanthella microadriatica)	3346
UniRef50_A0A1Q9BX33	A0A1Q9CRL1	unreviewed	A0A1Q9CRL1_SYMMI	RNase H type-1 domain-containing protein	AK812_SmicGene33466	Symbiodinium microadriaticum (Dinoflagellate) (Zooxanthella microadriatica)	3059
UniRef50_A0A1Q9BX33	A0A1Q9DD42	unreviewed	A0A1Q9DD42_SYMMI	Modification methylase NgoBI	ngoBIM AK812_SmicGene25003	Symbiodinium microadriaticum (Dinoflagellate) (Zooxanthella microadriatica)	3310
UniRef50_A0A1Q9BX33	A0A1Q9DWB5	unreviewed	A0A1Q9DWB5_SYMMI	Reverse transcriptase domain-containing protein	AK812_SmicGene17971	Symbiodinium microadriaticum (Dinoflagellate) (Zooxanthella microadriatica)	2839
UniRef50_A0A1Q9BX33	A0A1Q9ELL5	unreviewed	A0A1Q9ELL5_SYMMI	RNase H type-1 domain-containing protein	AK812_SmicGene8113	Symbiodinium microadriaticum (Dinoflagellate) (Zooxanthella microadriatica)	3377
UniRef50_A0A1Q9BX33	A0A1Q9EWK2	unreviewed	A0A1Q9EWK2_SYMMI	Reverse transcriptase domain-containing protein	AK812_SmicGene4272	Symbiodinium microadriaticum (Dinoflagellate) (Zooxanthella microadriatica)	3125
UniRef50_A0A1Q9BX33	A0A812M5E6	unreviewed	A0A812M5E6_SYMMI	RNase H type-1 domain-containing protein	SMIC04503_LOCUS6033	Symbiodinium microadriaticum (Dinoflagellate) (Zooxanthella microadriatica)	3246
UniRef50_A0A1Q9BX33	A0A812MFG8	unreviewed	A0A812MFG8_SYMMI	RNase H type-1 domain-containing protein	SMIC04503_LOCUS6562	Symbiodinium microadriaticum (Dinoflagellate) (Zooxanthella microadriatica)	3283
UniRef50_A0A1Q9BX33	A0A813BKF7	unreviewed	A0A813BKF7_SYMMI	Reverse transcriptase domain-containing protein	SMIC04503_LOCUS37906	Symbiodinium microadriaticum (Dinoflagellate) (Zooxanthella microadriatica)	3112
UniRef50_A0A1Q9BX33	A0A812I1Q6	unreviewed	A0A812I1Q6_9DINO	NgoBIM protein	ngoBIM STRI2592_LOCUS2885	Symbiodinium sp. CCMP2592	3237
UniRef50_A0A1Q9BX33	A0A812Q128	unreviewed	A0A812Q128_9DINO	NgoBIM protein	ngoBIM STRI2592_LOCUS20185	Symbiodinium sp. CCMP2592	3336
UniRef50_A0A1Q9BX57	A0A812PGR2	unreviewed	A0A812PGR2_9DINO	Uncharacterized protein	SMICCKB8_LOCUS11719	Symbiodinium sp. KB8	372
UniRef50_A0A1Q9BX57	A0A1Q9BX57	unreviewed	A0A1Q9BX57_SYMMI	Uncharacterized protein	AK812_SmicGene45006	Symbiodinium microadriaticum (Dinoflagellate) (Zooxanthella microadriatica)	541
UniRef50_A0A1Q9BX57	A0A812NV57	unreviewed	A0A812NV57_SYMMI	Uncharacterized protein	SMIC04503_LOCUS8603	Symbiodinium microadriaticum (Dinoflagellate) (Zooxanthella microadriatica)	357
UniRef50_A0A1Q9BX82	A0A812PAI5	unreviewed	A0A812PAI5_9DINO	GIP protein	GIP SMICCKB8_LOCUS11867	Symbiodinium sp. KB8	690
UniRef50_A0A1Q9BX82	A0A1Q9BX82	unreviewed	A0A1Q9BX82_SYMMI	Copia protein	GIP AK812_SmicGene44942	Symbiodinium microadriaticum (Dinoflagellate) (Zooxanthella microadriatica)	727
UniRef50_A0A1Q9BXA1	A0A1Q9BXA1	unreviewed	A0A1Q9BXA1_SYMMI	Uncharacterized protein	AK812_SmicGene45018	Symbiodinium microadriaticum (Dinoflagellate) (Zooxanthella microadriatica)	1955
UniRef50_A0A1Q9BXI0	A0A1Q9BXI0	unreviewed	A0A1Q9BXI0_SYMMI	Uncharacterized protein	AK812_SmicGene44843	Symbiodinium microadriaticum (Dinoflagellate) (Zooxanthella microadriatica)	1626
UniRef50_A0A1Q9BXJ2	A0A812SSN1	unreviewed	A0A812SSN1_9DINO	RNase H type-1 domain-containing protein	SMICCKB8_LOCUS15151	Symbiodinium sp. KB8	1329
UniRef50_A0A1Q9BXJ2	A0A1Q9BXJ2	unreviewed	A0A1Q9BXJ2_SYMMI	RNase H type-1 domain-containing protein	AK812_SmicGene44785	Symbiodinium microadriaticum (Dinoflagellate) (Zooxanthella microadriatica)	1176
UniRef50_A0A1Q9BXJ2	A0A1Q9C6E3	unreviewed	A0A1Q9C6E3_SYMMI	RNase H type-1 domain-containing protein	AK812_SmicGene41326	Symbiodinium microadriaticum (Dinoflagellate) (Zooxanthella microadriatica)	1365
UniRef50_A0A1Q9BXJ2	A0A1Q9F4V2	unreviewed	A0A1Q9F4V2_SYMMI	LINE-1 reverse transcriptase-like	AK812_SmicGene1046	Symbiodinium microadriaticum (Dinoflagellate) (Zooxanthella microadriatica)	1357
