From	Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length
UniRef50_A0A1Q9BSE3	A0A1Q9BSE3	unreviewed	A0A1Q9BSE3_SYMMI	Pentatricopeptide repeat-containing protein, chloroplastic	AK812_SmicGene47173	Symbiodinium microadriaticum (Dinoflagellate) (Zooxanthella microadriatica)	545
UniRef50_A0A1Q9BSE4	A0A1Q9BSE4	unreviewed	A0A1Q9BSE4_SYMMI	Uncharacterized protein	AK812_SmicGene47086	Symbiodinium microadriaticum (Dinoflagellate) (Zooxanthella microadriatica)	618
UniRef50_A0A1Q9BSM8	A0A812QDG0	unreviewed	A0A812QDG0_9DINO	Uncharacterized protein	SNEC2469_LOCUS9703	Symbiodinium necroappetens	306
UniRef50_A0A1Q9BSM8	A0A1Q9BSM8	unreviewed	A0A1Q9BSM8_SYMMI	Uncharacterized protein	AK812_SmicGene47020	Symbiodinium microadriaticum (Dinoflagellate) (Zooxanthella microadriatica)	333
UniRef50_A0A1Q9BT12	A0A1Q9BT12	unreviewed	A0A1Q9BT12_SYMMI	Uncharacterized protein	AK812_SmicGene46800 SMIC04503_LOCUS27877	Symbiodinium microadriaticum (Dinoflagellate) (Zooxanthella microadriatica)	310
UniRef50_A0A1Q9BTE4	A0A1Q9BTE4	unreviewed	A0A1Q9BTE4_SYMMI	Retrovirus-related Pol polyprotein from transposon TNT 1-94	AK812_SmicGene46658	Symbiodinium microadriaticum (Dinoflagellate) (Zooxanthella microadriatica)	813
UniRef50_A0A1Q9BTL9	A0A1Q9BTL9	unreviewed	A0A1Q9BTL9_SYMMI	Tyr recombinase domain-containing protein	AK812_SmicGene46553	Symbiodinium microadriaticum (Dinoflagellate) (Zooxanthella microadriatica)	316
UniRef50_A0A1Q9BTV5	A0A812Z1L3	unreviewed	A0A812Z1L3_9DINO	Uncharacterized protein	SMICCKB8_LOCUS22129	Symbiodinium sp. KB8	513
UniRef50_A0A1Q9BTV5	A0A1Q9BTV5	unreviewed	A0A1Q9BTV5_SYMMI	Uncharacterized protein	AK812_SmicGene46431	Symbiodinium microadriaticum (Dinoflagellate) (Zooxanthella microadriatica)	539
UniRef50_A0A1Q9BTV5	A0A812TJI2	unreviewed	A0A812TJI2_SYMMI	Uncharacterized protein	SMIC04503_LOCUS16402	Symbiodinium microadriaticum (Dinoflagellate) (Zooxanthella microadriatica)	535
UniRef50_A0A1Q9BTX7	A0A812KI04	unreviewed	A0A812KI04_9DINO	RE1 protein	RE1 SLIN2456_LOCUS5094	Symbiodinium sp. CCMP2456	883
UniRef50_A0A1Q9BTX7	A0A1Q9BTX7	unreviewed	A0A1Q9BTX7_SYMMI	Integrase catalytic domain-containing protein	AK812_SmicGene46512	Symbiodinium microadriaticum (Dinoflagellate) (Zooxanthella microadriatica)	945
UniRef50_A0A1Q9BTX7	A0A1Q9DEH6	unreviewed	A0A1Q9DEH6_SYMMI	Putative transposon protein	TY5A AK812_SmicGene24505	Symbiodinium microadriaticum (Dinoflagellate) (Zooxanthella microadriatica)	1076
UniRef50_A0A1Q9BU58	A0A1Q9BU58	unreviewed	A0A1Q9BU58_SYMMI	Tyr recombinase domain-containing protein	AK812_SmicGene46311	Symbiodinium microadriaticum (Dinoflagellate) (Zooxanthella microadriatica)	643
UniRef50_A0A1Q9BUH7	A0A1Q9BUH7	unreviewed	A0A1Q9BUH7_SYMMI	Uncharacterized protein	AK812_SmicGene46161	Symbiodinium microadriaticum (Dinoflagellate) (Zooxanthella microadriatica)	959
UniRef50_A0A1Q9BUS4	A0A1Q9BUS4	unreviewed	A0A1Q9BUS4_SYMMI	Pyruvate dehydrogenase [NADP(+)], mitochondrial	PNO AK812_SmicGene46134	Symbiodinium microadriaticum (Dinoflagellate) (Zooxanthella microadriatica)	967
UniRef50_A0A1Q9BVH3	A0A813BZB1	unreviewed	A0A813BZB1_9DINO	GIP protein	GIP SNEC2469_LOCUS32601	Symbiodinium necroappetens	1374
UniRef50_A0A1Q9BVH3	A0A1Q9BVH3	unreviewed	A0A1Q9BVH3_SYMMI	Copia protein	GIP AK812_SmicGene45668	Symbiodinium microadriaticum (Dinoflagellate) (Zooxanthella microadriatica)	1566
UniRef50_A0A1Q9BVR6	A0A1Q9BVR6	unreviewed	A0A1Q9BVR6_SYMMI	Uncharacterized protein	AK812_SmicGene45596	Symbiodinium microadriaticum (Dinoflagellate) (Zooxanthella microadriatica)	271
UniRef50_A0A1Q9BVS0	A0A1Q9BVS0	unreviewed	A0A1Q9BVS0_SYMMI	Integrase zinc-binding domain-containing protein	AK812_SmicGene45560	Symbiodinium microadriaticum (Dinoflagellate) (Zooxanthella microadriatica)	605
UniRef50_A0A1Q9BWA0	A0A1Q9BWA0	unreviewed	A0A1Q9BWA0_SYMMI	AAA+ ATPase domain-containing protein	AK812_SmicGene44719 AK812_SmicGene45355	Symbiodinium microadriaticum (Dinoflagellate) (Zooxanthella microadriatica)	720
UniRef50_A0A1Q9BX23	A0A1Q9BX23	unreviewed	A0A1Q9BX23_SYMMI	Integrase catalytic domain-containing protein	AK812_SmicGene44983	Symbiodinium microadriaticum (Dinoflagellate) (Zooxanthella microadriatica)	2235
UniRef50_A0A1Q9BXI0	A0A1Q9BXI0	unreviewed	A0A1Q9BXI0_SYMMI	Uncharacterized protein	AK812_SmicGene44843	Symbiodinium microadriaticum (Dinoflagellate) (Zooxanthella microadriatica)	1626
UniRef50_A0A1Q9BXJ2	A0A812SSN1	unreviewed	A0A812SSN1_9DINO	RNase H type-1 domain-containing protein	SMICCKB8_LOCUS15151	Symbiodinium sp. KB8	1329
UniRef50_A0A1Q9BXJ2	A0A1Q9BXJ2	unreviewed	A0A1Q9BXJ2_SYMMI	RNase H type-1 domain-containing protein	AK812_SmicGene44785	Symbiodinium microadriaticum (Dinoflagellate) (Zooxanthella microadriatica)	1176
UniRef50_A0A1Q9BXJ2	A0A1Q9C6E3	unreviewed	A0A1Q9C6E3_SYMMI	RNase H type-1 domain-containing protein	AK812_SmicGene41326	Symbiodinium microadriaticum (Dinoflagellate) (Zooxanthella microadriatica)	1365
UniRef50_A0A1Q9BXJ2	A0A1Q9F4V2	unreviewed	A0A1Q9F4V2_SYMMI	LINE-1 reverse transcriptase-like	AK812_SmicGene1046	Symbiodinium microadriaticum (Dinoflagellate) (Zooxanthella microadriatica)	1357
UniRef50_A0A1Q9BXJ2	A0A812LWF3	unreviewed	A0A812LWF3_SYMMI	RNase H type-1 domain-containing protein	SMIC04503_LOCUS5190	Symbiodinium microadriaticum (Dinoflagellate) (Zooxanthella microadriatica)	1320
UniRef50_A0A1Q9BXU4	A0A812SAF6	unreviewed	A0A812SAF6_9DINO	Uncharacterized protein	SMICCKB8_LOCUS14686	Symbiodinium sp. KB8	1213
UniRef50_A0A1Q9BXU4	A0A1Q9BXU4	unreviewed	A0A1Q9BXU4_SYMMI	Uncharacterized protein	AK812_SmicGene44685	Symbiodinium microadriaticum (Dinoflagellate) (Zooxanthella microadriatica)	1217
UniRef50_A0A1Q9BXU4	A0A812QDK9	unreviewed	A0A812QDK9_SYMMI	Uncharacterized protein	SMIC04503_LOCUS10751	Symbiodinium microadriaticum (Dinoflagellate) (Zooxanthella microadriatica)	1213
UniRef50_A0A1Q9BXW8	A0A1Q9BXW8	unreviewed	A0A1Q9BXW8_SYMMI	CCHC-type domain-containing protein	AK812_SmicGene44651	Symbiodinium microadriaticum (Dinoflagellate) (Zooxanthella microadriatica)	187
UniRef50_A0A1Q9BXX0	A0A1Q9BXX0	unreviewed	A0A1Q9BXX0_SYMMI	Transposon Ty2-LR1 Gag-Pol polyprotein	TY2B-LR1 AK812_SmicGene44658	Symbiodinium microadriaticum (Dinoflagellate) (Zooxanthella microadriatica)	845
UniRef50_A0A1Q9BXX0	A0A1Q9DYH8	unreviewed	A0A1Q9DYH8_SYMMI	Retrovirus-related Pol polyprotein from transposon TNT 1-94	AK812_SmicGene17167	Symbiodinium microadriaticum (Dinoflagellate) (Zooxanthella microadriatica)	692
UniRef50_A0A1Q9BY34	A0A1Q9BY34	unreviewed	A0A1Q9BY34_SYMMI	Retrovirus-related Pol polyprotein from transposon TNT 1-94	AK812_SmicGene44595	Symbiodinium microadriaticum (Dinoflagellate) (Zooxanthella microadriatica)	1040
UniRef50_A0A1Q9BY52	A0A812SGG8	unreviewed	A0A812SGG8_9DINO	Uncharacterized protein	SMICCKB8_LOCUS14874	Symbiodinium sp. KB8	752
UniRef50_A0A1Q9BY52	A0A1Q9BY52	unreviewed	A0A1Q9BY52_SYMMI	S-antigen protein	AK812_SmicGene44562	Symbiodinium microadriaticum (Dinoflagellate) (Zooxanthella microadriatica)	759
UniRef50_A0A1Q9BY52	A0A812LZ39	unreviewed	A0A812LZ39_SYMMI	Uncharacterized protein	SMIC04503_LOCUS5770	Symbiodinium microadriaticum (Dinoflagellate) (Zooxanthella microadriatica)	744
UniRef50_A0A1Q9BYE6	A0A1Q9BYE6	unreviewed	A0A1Q9BYE6_SYMMI	Copia protein	GIP AK812_SmicGene44578	Symbiodinium microadriaticum (Dinoflagellate) (Zooxanthella microadriatica)	3047
UniRef50_A0A1Q9BYF3	A0A1Q9BYF3	unreviewed	A0A1Q9BYF3_SYMMI	Retrovirus-related Pol polyprotein from transposon TNT 1-94	AK812_SmicGene44448	Symbiodinium microadriaticum (Dinoflagellate) (Zooxanthella microadriatica)	2394
UniRef50_A0A1Q9BYF3	A0A1Q9DDR1	unreviewed	A0A1Q9DDR1_SYMMI	Uncharacterized protein	AK812_SmicGene24841	Symbiodinium microadriaticum (Dinoflagellate) (Zooxanthella microadriatica)	1941
UniRef50_A0A1Q9BYF3	A0A812N637	unreviewed	A0A812N637_SYMMI	Uncharacterized protein	SMIC04503_LOCUS7477	Symbiodinium microadriaticum (Dinoflagellate) (Zooxanthella microadriatica)	1804
UniRef50_A0A1Q9BYK6	A0A812LJ57	unreviewed	A0A812LJ57_9DINO	Uncharacterized protein	SMICCKB8_LOCUS6761	Symbiodinium sp. KB8	1457
UniRef50_A0A1Q9BYK6	A0A812NG51	unreviewed	A0A812NG51_9DINO	Uncharacterized protein	SMICCKB8_LOCUS10216	Symbiodinium sp. KB8	1520
UniRef50_A0A1Q9BYK6	A0A812UVZ8	unreviewed	A0A812UVZ8_9DINO	Uncharacterized protein	SMICCKB8_LOCUS17174	Symbiodinium sp. KB8	246
UniRef50_A0A1Q9BYK6	A0A1Q9BYK6	unreviewed	A0A1Q9BYK6_SYMMI	Core-binding (CB) domain-containing protein	AK812_SmicGene44394	Symbiodinium microadriaticum (Dinoflagellate) (Zooxanthella microadriatica)	1688
UniRef50_A0A1Q9BYK6	A0A1Q9CMV1	unreviewed	A0A1Q9CMV1_SYMMI	Uncharacterized protein	AK812_SmicGene34886	Symbiodinium microadriaticum (Dinoflagellate) (Zooxanthella microadriatica)	2001
UniRef50_A0A1Q9BYK6	A0A812KMK2	unreviewed	A0A812KMK2_SYMMI	Core-binding (CB) domain-containing protein	SMIC04503_LOCUS3352	Symbiodinium microadriaticum (Dinoflagellate) (Zooxanthella microadriatica)	1688
UniRef50_A0A1Q9BYK6	A0A813A3Q4	unreviewed	A0A813A3Q4_SYMMI	Uncharacterized protein	SMIC04503_LOCUS30214	Symbiodinium microadriaticum (Dinoflagellate) (Zooxanthella microadriatica)	1998
UniRef50_A0A1Q9BYS0	A0A1Q9BYS0	unreviewed	A0A1Q9BYS0_SYMMI	Reverse transcriptase domain-containing protein	AK812_SmicGene44417	Symbiodinium microadriaticum (Dinoflagellate) (Zooxanthella microadriatica)	313
UniRef50_A0A1Q9BYS8	A0A812UIK1	unreviewed	A0A812UIK1_9DINO	inositol oxygenase (EC 1.13.99.1)	Miox SLIN2456_LOCUS19898	Symbiodinium sp. CCMP2456	604
UniRef50_A0A1Q9BYS8	A0A812X7V4	unreviewed	A0A812X7V4_9DINO	inositol oxygenase (EC 1.13.99.1)	Miox SLIN2456_LOCUS25851	Symbiodinium sp. CCMP2456	655
UniRef50_A0A1Q9BYS8	A0A813BX88	unreviewed	A0A813BX88_9DINO	inositol oxygenase (EC 1.13.99.1)	Miox SMICCKB8_LOCUS31265	Symbiodinium sp. KB8	615
UniRef50_A0A1Q9BYS8	A0A1Q9BYS8	unreviewed	A0A1Q9BYS8_SYMMI	inositol oxygenase (EC 1.13.99.1)	Miox AK812_SmicGene44320	Symbiodinium microadriaticum (Dinoflagellate) (Zooxanthella microadriatica)	688
UniRef50_A0A1Q9BYS8	A0A813A0L0	unreviewed	A0A813A0L0_SYMMI	inositol oxygenase (EC 1.13.99.1)	Miox SMIC04503_LOCUS29867	Symbiodinium microadriaticum (Dinoflagellate) (Zooxanthella microadriatica)	672
UniRef50_A0A1Q9BYS8	A0A812RLP5	unreviewed	A0A812RLP5_SYMPI	inositol oxygenase (EC 1.13.99.1)	miox SPIL2461_LOCUS10923	Symbiodinium pilosum (Dinoflagellate)	658
UniRef50_A0A1Q9BYS8	A0A812PVA6	unreviewed	A0A812PVA6_9DINO	inositol oxygenase (EC 1.13.99.1)	Miox STRI2592_LOCUS20640	Symbiodinium sp. CCMP2592	559
UniRef50_A0A1Q9BYS8	A0A812Z894	unreviewed	A0A812Z894_9DINO	inositol oxygenase (EC 1.13.99.1)	miox STRI2592_LOCUS42034	Symbiodinium sp. CCMP2592	628
UniRef50_A0A1Q9BYS8	A0A812JSC1	unreviewed	A0A812JSC1_9DINO	inositol oxygenase (EC 1.13.99.1)	Miox SNAT2548_LOCUS7466	Symbiodinium natans	602
UniRef50_A0A1Q9BYT8	A0A1Q9BYT8	unreviewed	A0A1Q9BYT8_SYMMI	Oligopeptide-binding protein AppA	appA AK812_SmicGene44290	Symbiodinium microadriaticum (Dinoflagellate) (Zooxanthella microadriatica)	1891
UniRef50_A0A1Q9BYW0	A0A1Q9BYW0	unreviewed	A0A1Q9BYW0_SYMMI	Protein N-lysine methyltransferase METTL21A	METTL21A AK812_SmicGene44279	Symbiodinium microadriaticum (Dinoflagellate) (Zooxanthella microadriatica)	1241
UniRef50_A0A1Q9BZ26	A0A1Q9BZ26	unreviewed	A0A1Q9BZ26_SYMMI	Uncharacterized protein	AK812_SmicGene44201	Symbiodinium microadriaticum (Dinoflagellate) (Zooxanthella microadriatica)	238
UniRef50_A0A1Q9BZ29	A0A1Q9BZ29	unreviewed	A0A1Q9BZ29_SYMMI	Helitron helicase-like domain-containing protein	AK812_SmicGene44196	Symbiodinium microadriaticum (Dinoflagellate) (Zooxanthella microadriatica)	1586
UniRef50_A0A1Q9BZM3	A0A812S2M9	unreviewed	A0A812S2M9_9DINO	Drc7 protein	drc7 SNEC2469_LOCUS13047	Symbiodinium necroappetens	356
UniRef50_A0A1Q9BZM3	A0A812KPB3	unreviewed	A0A812KPB3_9DINO	Drc7 protein	drc7 SMICCKB8_LOCUS5566	Symbiodinium sp. KB8	626
UniRef50_A0A1Q9BZM3	A0A1Q9BZM3	unreviewed	A0A1Q9BZM3_SYMMI	Coiled-coil domain-containing protein lobo-like	ccdc135 AK812_SmicGene43984	Symbiodinium microadriaticum (Dinoflagellate) (Zooxanthella microadriatica)	2372
UniRef50_A0A1Q9BZS6	A0A812PJK2	unreviewed	A0A812PJK2_9DINO	RNA-dependent RNA polymerase (EC 2.7.7.48)	SMICCKB8_LOCUS11859	Symbiodinium sp. KB8	861
UniRef50_A0A1Q9BZS6	A0A1Q9BZS6	unreviewed	A0A1Q9BZS6_SYMMI	RNA-dependent RNA polymerase (EC 2.7.7.48)	AK812_SmicGene43925 SMIC04503_LOCUS9802	Symbiodinium microadriaticum (Dinoflagellate) (Zooxanthella microadriatica)	861
UniRef50_A0A1Q9BZW7	A0A1Q9BZW7	unreviewed	A0A1Q9BZW7_SYMMI	Linear gramicidin synthase subunit C	lgrC AK812_SmicGene43875	Symbiodinium microadriaticum (Dinoflagellate) (Zooxanthella microadriatica)	4936
UniRef50_A0A1Q9C007	A0A812QCS8	unreviewed	A0A812QCS8_9DINO	BTB domain-containing protein	SMICCKB8_LOCUS12868	Symbiodinium sp. KB8	342
UniRef50_A0A1Q9C007	A0A1Q9C007	unreviewed	A0A1Q9C007_SYMMI	Retrovirus-related Pol polyprotein from transposon TNT 1-94	AK812_SmicGene43827	Symbiodinium microadriaticum (Dinoflagellate) (Zooxanthella microadriatica)	2193
UniRef50_A0A1Q9C0D3	A0A1Q9C0D3	unreviewed	A0A1Q9C0D3_SYMMI	Uncharacterized protein	AK812_SmicGene43688	Symbiodinium microadriaticum (Dinoflagellate) (Zooxanthella microadriatica)	428
UniRef50_A0A1Q9C0N3	A0A813BR87	unreviewed	A0A813BR87_9DINO	CCHC-type domain-containing protein	SNEC2469_LOCUS31518	Symbiodinium necroappetens	846
UniRef50_A0A1Q9C0N3	A0A812K9R8	unreviewed	A0A812K9R8_9DINO	CCHC-type domain-containing protein	SMICCKB8_LOCUS4702	Symbiodinium sp. KB8	967
UniRef50_A0A1Q9C0N3	A0A1Q9C0N3	unreviewed	A0A1Q9C0N3_SYMMI	CCHC-type domain-containing protein	AK812_SmicGene43580	Symbiodinium microadriaticum (Dinoflagellate) (Zooxanthella microadriatica)	937
UniRef50_A0A1Q9C0N4	A0A1Q9C0N4	unreviewed	A0A1Q9C0N4_SYMMI	Integrase catalytic domain-containing protein	AK812_SmicGene43576	Symbiodinium microadriaticum (Dinoflagellate) (Zooxanthella microadriatica)	972
UniRef50_A0A1Q9C0N4	A0A1Q9CT08	unreviewed	A0A1Q9CT08_SYMMI	Integrase catalytic domain-containing protein	AK812_SmicGene32898	Symbiodinium microadriaticum (Dinoflagellate) (Zooxanthella microadriatica)	1101
UniRef50_A0A1Q9C0U6	A0A1Q9C0U6	unreviewed	A0A1Q9C0U6_SYMMI	Uncharacterized protein	AK812_SmicGene43505	Symbiodinium microadriaticum (Dinoflagellate) (Zooxanthella microadriatica)	389
UniRef50_A0A1Q9C0V3	A0A1Q9C0V3	unreviewed	A0A1Q9C0V3_SYMMI	Copia protein	AK812_SmicGene43509	Symbiodinium microadriaticum (Dinoflagellate) (Zooxanthella microadriatica)	873
UniRef50_A0A1Q9C0V3	A0A1Q9CUU4	unreviewed	A0A1Q9CUU4_SYMMI	Uncharacterized protein	AK812_SmicGene32181	Symbiodinium microadriaticum (Dinoflagellate) (Zooxanthella microadriatica)	861
UniRef50_A0A1Q9C0V3	A0A1Q9ELR7	unreviewed	A0A1Q9ELR7_SYMMI	Uncharacterized protein	AK812_SmicGene8152	Symbiodinium microadriaticum (Dinoflagellate) (Zooxanthella microadriatica)	969
UniRef50_A0A1Q9C0V3	A0A812YHH3	unreviewed	A0A812YHH3_SYMMI	Uncharacterized protein	SMIC04503_LOCUS26196	Symbiodinium microadriaticum (Dinoflagellate) (Zooxanthella microadriatica)	193
UniRef50_A0A1Q9C0Z9	A0A812H0B5	unreviewed	A0A812H0B5_9DINO	RSN1 protein	RSN1 SMICCKB8_LOCUS546	Symbiodinium sp. KB8	1532
UniRef50_A0A1Q9C0Z9	A0A813D2R3	unreviewed	A0A813D2R3_9DINO	RSN1 protein	RSN1 SMICCKB8_LOCUS42468	Symbiodinium sp. KB8	78
UniRef50_A0A1Q9C0Z9	A0A1Q9C0Z9	unreviewed	A0A1Q9C0Z9_SYMMI	Uncharacterized protein RSN1	RSN1 AK812_SmicGene43468	Symbiodinium microadriaticum (Dinoflagellate) (Zooxanthella microadriatica)	1671
UniRef50_A0A1Q9C0Z9	A0A812J255	unreviewed	A0A812J255_SYMMI	RSN1 protein	RSN1 SMIC04503_LOCUS1218	Symbiodinium microadriaticum (Dinoflagellate) (Zooxanthella microadriatica)	1532
UniRef50_A0A1Q9C178	A0A812KM72	unreviewed	A0A812KM72_9DINO	Uncharacterized protein	SMICCKB8_LOCUS4986	Symbiodinium sp. KB8	941
UniRef50_A0A1Q9C178	A0A1Q9C178	unreviewed	A0A1Q9C178_SYMMI	Uncharacterized protein	AK812_SmicGene43364 SMIC04503_LOCUS3856	Symbiodinium microadriaticum (Dinoflagellate) (Zooxanthella microadriatica)	941
UniRef50_A0A1Q9C1C0	A0A1Q9C1C0	unreviewed	A0A1Q9C1C0_SYMMI	Uncharacterized protein	AK812_SmicGene43315	Symbiodinium microadriaticum (Dinoflagellate) (Zooxanthella microadriatica)	1136
UniRef50_A0A1Q9C1E4	A0A813CXM7	unreviewed	A0A813CXM7_9DINO	ATP-dependent DNA helicase (EC 3.6.4.12)	pfh1 SMICCKB8_LOCUS41713	Symbiodinium sp. KB8	2075
UniRef50_A0A1Q9C1E4	A0A1Q9C1E4	unreviewed	A0A1Q9C1E4_SYMMI	ATP-dependent DNA helicase (EC 3.6.4.12)	pfh1 AK812_SmicGene43283 SMIC04503_LOCUS34112	Symbiodinium microadriaticum (Dinoflagellate) (Zooxanthella microadriatica)	2075
UniRef50_A0A1Q9C1E8	A0A812MLT2	unreviewed	A0A812MLT2_9DINO	Uncharacterized protein	SMICCKB8_LOCUS8630	Symbiodinium sp. KB8	1578
UniRef50_A0A1Q9C1E8	A0A1Q9C1E8	unreviewed	A0A1Q9C1E8_SYMMI	Tyr recombinase domain-containing protein	AK812_SmicGene43280	Symbiodinium microadriaticum (Dinoflagellate) (Zooxanthella microadriatica)	1480
UniRef50_A0A1Q9C1E8	A0A812MBH1	unreviewed	A0A812MBH1_SYMMI	Uncharacterized protein	SMIC04503_LOCUS6380	Symbiodinium microadriaticum (Dinoflagellate) (Zooxanthella microadriatica)	1578
UniRef50_A0A1Q9C1J3	A0A813BIU7	unreviewed	A0A813BIU7_9DINO	Uncharacterized protein	SMICCKB8_LOCUS29699	Symbiodinium sp. KB8	292
UniRef50_A0A1Q9C1J3	A0A1Q9C1J3	unreviewed	A0A1Q9C1J3_SYMMI	Uncharacterized protein	AK812_SmicGene43239	Symbiodinium microadriaticum (Dinoflagellate) (Zooxanthella microadriatica)	341
UniRef50_A0A1Q9C1J3	A0A812TQN0	unreviewed	A0A812TQN0_SYMMI	Uncharacterized protein	SMIC04503_LOCUS17121	Symbiodinium microadriaticum (Dinoflagellate) (Zooxanthella microadriatica)	292
UniRef50_A0A1Q9C1L9	A0A812PKH0	unreviewed	A0A812PKH0_9DINO	Uncharacterized protein	SMICCKB8_LOCUS11905	Symbiodinium sp. KB8	444
UniRef50_A0A1Q9C1L9	A0A1Q9C1L9	unreviewed	A0A1Q9C1L9_SYMMI	Uncharacterized protein	AK812_SmicGene43196	Symbiodinium microadriaticum (Dinoflagellate) (Zooxanthella microadriatica)	444
UniRef50_A0A1Q9C1X0	A0A1Q9C1X0	unreviewed	A0A1Q9C1X0_SYMMI	Uncharacterized protein	AK812_SmicGene43080	Symbiodinium microadriaticum (Dinoflagellate) (Zooxanthella microadriatica)	789
UniRef50_A0A1Q9C1X0	A0A812L4G7	unreviewed	A0A812L4G7_9DINO	Uncharacterized protein	STRI2592_LOCUS10351	Symbiodinium sp. CCMP2592	686
UniRef50_A0A1Q9C204	A0A1Q9C204	unreviewed	A0A1Q9C204_SYMMI	1,4-alpha-glucan-branching enzyme 2-1, chloroplastic/amyloplastic	SBE2.1 AK812_SmicGene43062	Symbiodinium microadriaticum (Dinoflagellate) (Zooxanthella microadriatica)	4011
UniRef50_A0A1Q9C215	A0A1Q9C215	unreviewed	A0A1Q9C215_SYMMI	Protocatechuate 3,4-dioxygenase beta chain	pcaH AK812_SmicGene43039	Symbiodinium microadriaticum (Dinoflagellate) (Zooxanthella microadriatica)	681
UniRef50_A0A1Q9C219	A0A1Q9C219	unreviewed	A0A1Q9C219_SYMMI	C3H1-type domain-containing protein	AK812_SmicGene43009	Symbiodinium microadriaticum (Dinoflagellate) (Zooxanthella microadriatica)	4109
UniRef50_A0A1Q9C2A2	A0A1Q9C2A2	unreviewed	A0A1Q9C2A2_SYMMI	Copia protein (GIP protein)	GIP AK812_SmicGene42944 SMIC04503_LOCUS6706	Symbiodinium microadriaticum (Dinoflagellate) (Zooxanthella microadriatica)	917
UniRef50_A0A1Q9C2M4	A0A1Q9C2M4	unreviewed	A0A1Q9C2M4_SYMMI	Uncharacterized protein	AK812_SmicGene42812	Symbiodinium microadriaticum (Dinoflagellate) (Zooxanthella microadriatica)	232
UniRef50_A0A1Q9C2U6	A0A812WC17	unreviewed	A0A812WC17_9DINO	Sushi domain-containing protein	SLIN2456_LOCUS23745	Symbiodinium sp. CCMP2456	711
